"Happy, Volkswagen - Smiles - It's not the miles, it's how you live them, Female, MEL build master-101 master-101","Surprise, Volkswagen - Smiles - It's not the miles, it's how you live them, Female, MEL build master-101 master-101","Engagement, Volkswagen - Smiles - It's not the miles, it's how you live them, Female, MEL build master-101 master-101","Negative, Volkswagen - Smiles - It's not the miles, it's how you live them, Female, MEL build master-101 master-101","Happy, Volkswagen - Smiles - It's not the miles, it's how you live them, Male, MEL build master-101 master-101","Surprise, Volkswagen - Smiles - It's not the miles, it's how you live them, Male, MEL build master-101 master-101","Engagement, Volkswagen - Smiles - It's not the miles, it's how you live them, Male, MEL build master-101 master-101","Negative, Volkswagen - Smiles - It's not the miles, it's how you live them, Male, MEL build master-101 master-101"
0.04945,0.104395,0.274725,0.076923,0.210843,0.072289,0.39759,0.120481
0.061855,0.077319,0.298969,0.061855,0.104938,0.086419,0.339506,0.104938
0.17,0.095,0.465,0.09,0.179012,0.043209,0.364197,0.111111
0.293814,0.046391,0.484536,0.06701,0.225,0.06875,0.34375,0.0875
0.316326,0.05102,0.515306,0.066326,0.209876,0.111111,0.395061,0.043209
0.371134,0.030927,0.510309,0.06701,0.222891,0.072289,0.355421,0.054216
0.329896,0.036082,0.510309,0.056701,0.221518,0.107594,0.417721,0.075949
0.330097,0.048543,0.538834,0.097087,0.21875,0.06875,0.3625,0.1125
0.272727,0.015151,0.484848,0.10101,0.18125,0.05625,0.44375,0.13125
0.285714,0.019047,0.461904,0.047619,0.246753,0.077922,0.441558,0.116883
0.257281,0.024271,0.441747,0.077669,0.207317,0.04878,0.402439,0.134146
0.27835,0.020618,0.438144,0.072164,0.192771,0.036144,0.373493,0.096385
0.275,0.035,0.5,0.135,0.222222,0.067901,0.41358,0.092592
0.226804,0.056701,0.474226,0.092783,0.182926,0.054878,0.402439,0.121951
0.265957,0.042553,0.49468,0.069148,0.202531,0.063291,0.42405,0.075949
0.234375,0.026041,0.432291,0.067708,0.22619,0.065476,0.458333,0.125
0.25,0.036458,0.463541,0.072916,0.259259,0.055555,0.450617,0.080246
0.30303,0.040404,0.479797,0.085858,0.25641,0.064102,0.493589,0.128205
0.262626,0.050505,0.494949,0.136363,0.279761,0.089285,0.458333,0.071428
0.235,0.035,0.475,0.125,0.27647,0.052941,0.464705,0.07647
0.291666,0.0625,0.479166,0.0625,0.259493,0.088607,0.417721,0.075949
0.30808,0.050505,0.520202,0.085858,0.2,0.0625,0.45,0.0875
0.277777,0.030303,0.510101,0.085858,0.234177,0.075949,0.468354,0.120253
0.282178,0.064356,0.475247,0.039603,0.302469,0.129629,0.506172,0.067901
0.310526,0.042105,0.573684,0.121052,0.237804,0.054878,0.512195,0.158536
0.309278,0.056701,0.56701,0.097938,0.25641,0.089743,0.474358,0.089743
0.282178,0.084158,0.549504,0.133663,0.294871,0.038461,0.435897,0.096153
0.24537,0.060185,0.606481,0.125,0.222222,0.055555,0.419753,0.074074
0.28,0.09,0.525,0.1,0.19753,0.049382,0.475308,0.141975
0.24,0.1,0.51,0.055,0.189024,0.067073,0.463414,0.170731
0.220588,0.068627,0.495098,0.088235,0.203947,0.039473,0.5,0.18421
